epoch,elbo_train,elbo_validation
0,2329.241455078125,2003.357421875
1,1974.1268310546875,1945.8935546875
2,1927.427001953125,1907.28662109375
3,1896.3958740234375,1881.51416015625
4,1877.2613525390625,1866.6383056640625
5,1864.6163330078125,1855.6793212890625
6,1855.604736328125,1847.943115234375
7,1848.5706787109375,1841.484375
8,1842.0484619140625,1837.4951171875
9,1836.779541015625,1830.5499267578125
10,1832.2359619140625,1827.5794677734375
11,1828.69580078125,1822.912841796875
12,1825.67822265625,1820.7591552734375
13,1823.2239990234375,1817.983642578125
14,1821.12646484375,1816.378662109375
15,1819.50341796875,1815.0455322265625
16,1818.0947265625,1813.928466796875
17,1816.93212890625,1812.7069091796875
18,1815.846923828125,1812.26123046875
19,1815.010986328125,1811.2528076171875
20,1814.32861328125,1810.3741455078125
21,1813.641357421875,1809.9425048828125
22,1813.033935546875,1809.2962646484375
23,1812.4224853515625,1808.620849609375
24,1811.879150390625,1808.0064697265625
25,1811.37646484375,1807.2994384765625
26,1810.9075927734375,1807.0587158203125
27,1810.38916015625,1806.8250732421875
28,1809.991455078125,1806.602783203125
29,1809.5469970703125,1805.8841552734375
30,1809.1015625,1805.3189697265625
31,1808.700439453125,1805.1883544921875
32,1808.34423828125,1804.8438720703125
33,1808.0010986328125,1804.6864013671875
34,1807.6629638671875,1804.040771484375
35,1807.2774658203125,1804.0118408203125
36,1806.95947265625,1803.6568603515625
37,1806.6785888671875,1803.236328125
38,1806.3946533203125,1802.9552001953125
39,1806.1181640625,1802.7353515625
40,1805.86572265625,1802.557373046875
41,1805.6680908203125,1802.18359375
42,1805.4171142578125,1802.12255859375
43,1805.23583984375,1801.787353515625
44,1805.036376953125,1801.9794921875
45,1804.8082275390625,1801.8414306640625
46,1804.6224365234375,1801.4261474609375
47,1804.47021484375,1801.4566650390625
48,1804.3404541015625,1801.1328125
49,1804.1368408203125,1801.09619140625
50,1804.07373046875,1800.9703369140625
51,1803.9735107421875,1800.9052734375
52,1803.7967529296875,1801.2294921875
53,1803.740478515625,1800.59521484375
54,1803.6468505859375,1800.654296875
55,1803.5177001953125,1800.5062255859375
56,1803.4815673828125,1800.5380859375
57,1803.3411865234375,1800.3583984375
58,1803.327880859375,1800.368896484375
59,1803.2119140625,1800.2276611328125
60,1803.142822265625,1800.101806640625
61,1803.0819091796875,1800.0599365234375
62,1803.0615234375,1799.8902587890625
63,1802.93115234375,1800.02734375
64,1802.9053955078125,1799.9151611328125
65,1802.8201904296875,1799.99560546875
66,1802.8004150390625,1799.787841796875
67,1802.7020263671875,1799.9814453125
68,1802.7147216796875,1800.0670166015625
69,1802.6556396484375,1799.9117431640625
70,1802.614990234375,1799.8468017578125
71,1802.58203125,1799.706298828125
72,1802.532958984375,1800.027587890625
73,1802.5185546875,1799.791015625
74,1802.43115234375,1799.6173095703125
75,1802.4156494140625,1799.935546875
76,1802.4554443359375,1799.6646728515625
77,1802.3612060546875,1799.4774169921875
78,1802.3822021484375,1799.4637451171875
79,1802.306396484375,1799.478271484375
80,1802.2821044921875,1799.62744140625
81,1802.2789306640625,1799.449951171875
82,1802.229248046875,1799.4288330078125
83,1802.174072265625,1799.3536376953125
84,1802.238525390625,1799.468994140625
85,1802.164306640625,1799.5677490234375
86,1802.1484375,1799.394287109375
87,1802.1195068359375,1799.3922119140625
88,1802.1624755859375,1799.5718994140625
89,1802.112548828125,1799.34375
90,1802.0732421875,1799.28515625
91,1802.03759765625,1799.3211669921875
92,1802.025146484375,1799.47509765625
93,1802.013671875,1799.4180908203125
94,1801.982666015625,1799.2552490234375
95,1801.9859619140625,1799.23388671875
96,1801.96044921875,1799.3240966796875
97,1801.9405517578125,1799.3662109375
98,1801.9510498046875,1799.3690185546875
99,1801.885009765625,1799.15185546875
100,1801.8902587890625,1799.161865234375
101,1801.8636474609375,1799.150634765625
102,1801.8570556640625,1799.6590576171875
103,1801.8236083984375,1799.2469482421875
104,1801.8045654296875,1799.2691650390625
105,1801.7891845703125,1799.3040771484375
106,1801.799072265625,1799.0916748046875
107,1801.8232421875,1799.24560546875
108,1801.8082275390625,1799.77392578125
109,1801.76708984375,1799.1153564453125
110,1801.7720947265625,1799.1143798828125
111,1801.7728271484375,1799.4385986328125
112,1801.760986328125,1799.21484375
113,1801.760986328125,1799.067138671875
114,1801.680419921875,1799.121826171875
115,1801.687744140625,1799.1361083984375
116,1801.73388671875,1799.16845703125
117,1801.6561279296875,1799.1611328125
118,1801.6959228515625,1799.13623046875
119,1801.68212890625,1799.1641845703125
120,1801.6292724609375,1799.1431884765625
121,1801.6441650390625,1799.13232421875
122,1801.6522216796875,1799.1136474609375
123,1801.619384765625,1799.0740966796875
124,1801.624755859375,1799.0172119140625
125,1801.595458984375,1799.1607666015625
126,1801.6171875,1799.133544921875
127,1801.58056640625,1799.0550537109375
128,1801.5555419921875,1799.052978515625
129,1801.5791015625,1799.15576171875
130,1801.55126953125,1799.00634765625
131,1801.5738525390625,1799.044677734375
132,1801.5185546875,1799.167724609375
133,1801.52587890625,1799.0845947265625
134,1801.521484375,1799.0010986328125
135,1801.5067138671875,1799.02587890625
136,1801.4886474609375,1799.07080078125
137,1801.52001953125,1799.0679931640625
138,1801.4893798828125,1798.9951171875
139,1801.4840087890625,1799.0
140,1801.4654541015625,1799.0225830078125
141,1801.455078125,1799.146484375
142,1801.4365234375,1798.9180908203125
143,1801.4442138671875,1798.947998046875
144,1801.470458984375,1799.0185546875
145,1801.43115234375,1798.928466796875
146,1801.40966796875,1799.16455078125
147,1801.4022216796875,1798.88134765625
148,1801.3985595703125,1798.9688720703125
149,1801.396728515625,1798.9814453125
150,1801.36669921875,1798.870849609375
151,1801.41796875,1799.03857421875
152,1801.402099609375,1798.9556884765625
153,1801.373291015625,1798.9732666015625
154,1801.3858642578125,1799.15234375
155,1801.39111328125,1798.9019775390625
156,1801.334716796875,1798.876708984375
157,1801.3372802734375,1798.9130859375
158,1801.3375244140625,1798.88330078125
159,1801.3775634765625,1798.9976806640625
160,1801.35498046875,1798.9830322265625
161,1801.3656005859375,1798.8565673828125
162,1801.335693359375,1798.9903564453125
163,1801.3388671875,1798.8497314453125
164,1801.3536376953125,1798.9400634765625
165,1801.2967529296875,1798.8983154296875
166,1801.3116455078125,1799.00390625
167,1801.2900390625,1799.0072021484375
168,1801.2901611328125,1799.010009765625
169,1801.3028564453125,1798.9178466796875
170,1801.2734375,1798.880859375
171,1801.269287109375,1798.94091796875
172,1801.2637939453125,1798.88720703125
173,1801.3006591796875,1798.8876953125
174,1801.2564697265625,1798.8101806640625
175,1801.2376708984375,1798.82177734375
176,1801.2802734375,1798.908935546875
177,1801.2646484375,1798.99853515625
178,1801.2513427734375,1798.864013671875
179,1801.24853515625,1798.98486328125
180,1801.271240234375,1798.970703125
181,1801.19384765625,1798.798583984375
182,1801.2205810546875,1798.826904296875
183,1801.2794189453125,1798.9493408203125
184,1801.2354736328125,1798.825927734375
185,1801.200927734375,1798.798583984375
186,1801.1815185546875,1798.8712158203125
187,1801.175537109375,1798.9395751953125
188,1801.1689453125,1798.7901611328125
189,1801.184814453125,1798.892822265625
190,1801.19873046875,1798.79833984375
191,1801.1798095703125,1798.8470458984375
192,1801.168212890625,1798.8931884765625
193,1801.1654052734375,1798.8900146484375
194,1801.1485595703125,1798.87646484375
195,1801.1893310546875,1798.8387451171875
196,1801.1298828125,1798.7490234375
197,1801.1453857421875,1798.8031005859375
198,1801.14453125,1798.94189453125
199,1801.1641845703125,1798.913330078125
200,1801.161865234375,1798.8734130859375
201,1801.1429443359375,1798.7142333984375
202,1801.16357421875,1798.7523193359375
203,1801.1107177734375,1798.8331298828125
204,1801.138671875,1798.899169921875
205,1801.123046875,1798.9256591796875
206,1801.1370849609375,1798.9764404296875
207,1801.0916748046875,1798.779052734375
208,1801.1370849609375,1798.899169921875
209,1801.107421875,1798.866943359375
210,1801.104736328125,1798.8680419921875
211,1801.0919189453125,1798.8433837890625
212,1801.0697021484375,1798.7908935546875
213,1801.097412109375,1798.908935546875
214,1801.121337890625,1798.7978515625
215,1801.06103515625,1798.819091796875
216,1801.1348876953125,1799.0565185546875
