,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
AP-1 transcription factor network (M20),0.005498213971839224,4.737799985763536,2.0576415135660344,0.2015669342598056,5.060812261690759,3.251353310209552,2.265651107886458,0.08381172823641964,4.598157918905461,2.259420807582948
B cell surface signature (S2),0.0024735632916131935,5.68336691125544e-05,0.013572605332623567,0.10687383343662869,0.07969815742455942,2.4335008305352765,0.09881306629543939,0.9162548437673321,4.321519593777937,0.007232405556543057
Monocyte surface signature (S4),0.15599694732929234,1.1034616220947049,0.5490598083322651,2.59176023864483,0.9788649843476567,4.054129846597695,1.3354035253021477,1.4457360008957627,1.1435227990107113,1.3674089304419244
T cell activation (I) (M7.1),0.36168473898359466,5.68336691125544e-05,0.19077608894446746,1.435945662533667,0.7181561675982853,10.0,5.1877960225343,5.5624506331450885,4.0792170045628895,0.309334183186135
T cell activation (II) (M7.3),0.6238249904634258,0.03604273563230455,0.095695941422748,1.328879782691303,0.522333486474761,3.469775422192504,1.8837476289981103,0.34977100670056616,3.5401058309686033,0.47080253134352434
T cell activation (III) (M7.4),0.24703868095483214,0.281206892413946,0.07135958016126215,0.014205763055664586,0.300370743283255,6.8628098460989415,3.7180005454296636,2.2800542733622686,0.3844422158164857,0.139457491828209
T cell activation and signaling (M5.1),0.675108270068004,0.24503134075833846,0.11614122690068428,0.9926608001214876,0.14192046940925881,4.308509436358749,4.480903170181921,2.4298399925945806,1.8691162362500515,0.1625882661524544
TBA (M243),5.592889035239458,3.6734693379010372,4.0348237479613935,0.7759249947349754,2.7100449947262923,2.416342109972637,1.4149382548851128,0.4830117118716702,4.005125920804802,0.3002315357701918
TLR and inflammatory signaling (M16),0.22350574475266188,0.7206129089538907,0.44875538164054796,1.435945662533667,0.6107829665635962,2.4633749819436086,0.45426829773939537,1.300934797399264,1.3445812885672244,0.798232890068985
activated dendritic cells (M67),0.635812948129518,0.014781300451970045,1.7208537062565956,2.988998121674156,0.8460000623102495,0.34479051442442693,0.23947380251320488,2.099425595138749,0.1783017270991124,0.1378764344730787
antiviral IFN signature (M75),0.5103010264224833,1.041645696806455,0.9052785551346876,4.515124543862443,0.23940552566887977,0.40215499543937105,0.2064988434387752,1.177896354614343,1.3445812885672244,0.6306919474296249
cell cycle and growth arrest (M31),0.19831816157568258,3.79357855044923,0.9052785551346876,0.2015669342598056,5.677220127263098,0.6000833613571195,4.991219028887463,0.7929510203770042,5.524560536237248,3.7316492739932383
chemokines and inflammatory molecules in myeloid cells (M86.0),0.5989514719849799,4.40850719503455,0.31961017831886124,2.59176023864483,6.977710178792334,2.0702831826197077,9.221815102906438,6.568816508235484,8.035697272330806,6.542574353672988
enriched in B cells (I) (M47.0),0.4792319914739238,0.19043375188371456,0.5771781862552188,0.4584649878801883,0.23309364255902773,10.0,3.664485360683596,2.437986637098021,2.3766640061643916,0.17417318766669357
enriched in NK cells (I) (M7.2),1.6180596621870773,0.26657726768785933,0.02501277757768807,1.1324020111714803,3.166529295770721,5.365533221326774,3.926969909678487,0.5414828610501612,1.1435227990107113,0.3750991756739727
enriched in T cells (I) (M7.0),2.7140473054750585,0.024409862577313365,0.010089895173427295,1.3467014175328311,1.3034925186317983,10.0,10.0,4.532523580341291,6.137678943108675,0.06251892081821177
enriched in activated dendritic cells (II) (M165),1.7683182199988643,0.49888757985404897,1.1523971661245582,1.26522225682604,0.31919571334337465,0.3369684547179947,0.8654949188577616,0.946835411745466,0.6785385984834973,1.0657142589564814
enriched in activated dendritic cells/monocytes (M64),0.3098566573824805,1.6901742052828486,0.5190653331812102,0.15081279945241147,2.872664273343749,0.1966378045463348,3.8620928481550907,3.1808642086438157,4.954605182138985,5.264722410381444
enriched in monocytes (II) (M11.0),1.6377835939247303,5.785501011115258,0.14949406527664513,6.22600992673666,2.416937834646405,3.8557588412016393,0.9118116876293759,2.6611759592582573,3.3794089239563747,4.2107545891571885
enriched in neutrophils (I) (M37.1),0.22350574475266188,2.1481077605888172,0.09263147193358183,1.0136151049793514,4.958898462783126,1.7137714164347713,1.7646842005185686,0.8379428267704959,3.472754991886409,1.7739539895379675
"growth factor induced, enriched in nuclear receptor subfamily 4 (M94)",0.06244822829678735,2.597646708651403,2.7001246206792846,0.2426041493790341,6.186648765133303,1.1227869189340862,4.849821335355982,0.12295907555255928,8.12132859923518,4.2107545891571885
innate antiviral response (M150),1.4941012378607395,0.27707990229953017,1.1523971661245582,1.9458053046551451,0.6713390162322823,0.1260201744712559,0.2598391488220917,0.19842048135019724,0.2864355013872309,0.07229407351408772
"myeloid, dendritic cell activation via NFkB (I) (M43.0)",0.15970279936488158,1.217041222719746,0.06725988375409976,1.5814823112103575,1.275592857117941,0.19834957360688804,4.410082914694291,2.013995069197227,5.524560536237248,4.675144383366368
"plasma cells & B cells, immunoglobulins (M156.0)",0.2962228239569126,0.024409862577313365,0.44875538164054796,0.08432045049139816,2.9052463295406525,8.396025176185073,3.123673718185138,0.7929510203770042,1.7959946282946055,0.0772355454617067
"proinflammatory dendritic cell, myeloid cell response (M86.1)",0.409041852119766,2.5714977135604173,0.5651512756502628,2.3351810599433462,3.0815827087377254,1.1532884112748603,5.432541082097648,5.522512955661633,3.2216326594462905,3.9489749683306243
putative targets of PAX3 (M89.0),0.19831816157568258,3.79357855044923,5.0496246945990615,0.09572111551244829,9.350498775946994,0.6786689454088521,9.183264682335972,0.15108771670202106,8.12132859923518,7.592616013051392
putative targets of PAX3 (M89.1),0.17397743743768926,2.1408563983613917,0.5190653331812102,0.14010820509919253,6.977710178792334,1.3802026400324072,5.16115925043599,0.10405681751776762,7.362950040673161,5.060668738648051
regulation of antigen presentation and immune response (M5.0),0.06953911887267211,1.8251225555091255,0.7914748559217247,1.3809741190502305,0.03722423080031444,5.747151289829152,3.8620928481550907,4.540384176272739,3.3794089239563747,0.22419475920167029
respiratory electron transport chain (mitochondrion) (M219),5.891013556658263,4.7922732548881335,4.160284563788296,0.15081279945241147,2.8800463509716527,3.908508740018745,0.20349453594922517,0.06538400030169697,3.0787614800203618,0.3053997418174156
signaling in T cells (I) (M35.0),0.2962228239569126,5.131041882203369,0.9052785551346876,1.3809741190502305,5.294282011009656,2.1494029230406477,0.2481908606076925,0.6907232628427132,3.472754991886409,0.4238237679269329
"transcription elongation, RNA polymerase II (M234)",5.319686148525809,2.971693667529911,4.0348237479613935,1.26522225682604,1.4539277144974194,1.400029804824362,0.17875379003622513,0.15052965493304932,3.280961024581742,0.24215494985348066
type I interferon response (M127),2.5095434571791237,0.008378723117039416,2.403786756297919,2.778862730440951,1.8470613632935837,0.10484386803695209,0.3415220172855537,0.8815566112505729,0.12295740653550939,0.13859118576506274
viral sensing & immunity; IRF2 targets network (II) (M111.1),0.049846162279648026,0.8985423592412237,0.41031848581061575,1.0426797939682397,1.0285340013752868,0.1453688633390536,0.321656118544506,1.1646985273623893,0.6202590222079201,0.4642962378466741
